,Rank, University, Size, M10, G10, P10, C40, C60, C80, USN, Scholar, ID,University,ID,school
102,103, Clemson University  ,33,53.5,42.01726,0.302245,5,1,1,2.3,2.205177,14,Clemson University,14,Clemson University
103,104, Florida International University  ,29,51.0,27.04428,0.323326,6,2,0,0.0,2.197753,26,Florida International University,26,Florida International University
104,105, University of Kentucky  ,23,45.0,31.790540000000004,0.320701,4,3,1,2.2,2.184503,118,University of Kentucky,118,University of Kentucky
105,106, Binghamton University - SUNY  ,27,51.0,43.694140000000004,0.347147,4,1,0,2.0,2.174188,4,Binghamton University - SUNY,4,Binghamton University
106,107, Missouri University of Science & Technology  ,16,52.0,42.622370000000004,0.323709,4,1,1,2.0,2.173423,48,Missouri University of Science & Technology,48,Missouri University of Technology
107,108, University of Hawaii - Manoa  ,24,36.0,26.882990000000003,0.273036,6,3,0,0.0,2.170776,111,University of Hawaii - Manoa,111,University of Hawaii at Manoa
108,109, University of Oregon  ,15,43.0,58.12627,0.36945900000000004,3,1,0,2.6,2.1677560000000002,143,University of Oregon,143,University of Oregon
109,110, University of South Carolina  ,25,33.0,42.17435,0.307444,7,1,1,2.1,2.164017,147,University of South Carolina,147,University of South Carolina
110,111, Louisiana State University - Baton Rouge  ,19,47.0,38.33495,0.346652,3,2,1,2.1,2.1530709999999997,42,Louisiana State University - Baton Rouge,42,Louisiana State University - Baton Rouge 
111,112, Florida State University  ,22,44.0,36.98997,0.302372,5,1,0,2.3,2.1419200000000003,27,Florida State University,27,Florida State University
112,113, Stevens Institute of Technology  ,14,44.5,44.29612,0.31019800000000003,3,1,1,2.1,2.11715,76,Stevens Institute of Technology,76,Stevens Institute of Technology
113,114, Florida Atlantic University  ,31,25.5,26.27238,0.267057,6,3,0,0.0,2.111998,24,Florida Atlantic University,24,Florida Atlantic University 
114,115, University of Massachusetts - Lowell  ,15,42.0,22.52125,0.290199,4,2,0,0.0,2.078206,126,University of Massachusetts - Lowell,126,University of Massachusetts Lowell
115,116, George Washington University  ,15,32.0,33.247659999999996,0.26552,3,2,0,2.3,2.058204,29,George Washington University,29,George Washington University
116,117, DePaul University  ,50,19.0,21.83496,0.22402399999999997,6,3,1,0.0,2.04506,21,DePaul University,21,DePaul University 
117,118, University of Massachusetts - Boston  ,15,41.0,43.08235,0.302081,5,0,0,0.0,2.030059,125,University of Massachusetts - Boston,125,University of Massachusetts Boston
118,119, Colorado School of Mines  ,9,58.0,47.86959,0.34076599999999996,2,0,0,2.1,2.022379,16,Colorado School of Mines,16,Colorado School of Mines
119,120, University of Tulsa  ,13,32.0,34.85327,0.254238,3,1,0,0.0,2.0137549999999997,157,University of Tulsa,157,University of Tulsa 
120,121, University of Alabama  ,16,25.0,25.22813,0.310577,4,2,1,0.0,2.0084310000000003,86,University of Alabama,86,University of Alabama 
121,122, Virginia Commonwealth University  ,17,36.0,37.39498,0.289511,2,1,0,0.0,2.007845,166,Virginia Commonwealth University,166,Virginia Commonwealth University
122,123, University of Alabama - Birmingham  ,9,37.0,39.94106,0.283458,1,1,0,0.0,1.9747569999999999,87,University of Alabama - Birmingham,87,University of Alabama - Birmingham 
123,124, Old Dominion University  ,15,38.5,28.13563,0.258919,2,1,0,0.0,1.971871,64,Old Dominion University,64,Old Dominion University
124,125, Washington State University  ,17,34.0,19.686529999999998,0.301852,4,1,1,2.4,1.969597,169,Washington State University,169,Washington State University
125,126, Naval Postgraduate School  ,18,33.0,31.746409999999997,0.268538,2,1,1,2.4,1.964591,50,Naval Postgraduate School,50,Naval Postgraduate School
126,127, University of Maine  ,6,49.5,33.609590000000004,0.289815,3,0,0,0.0,1.960759,121,University of Maine,121,University of Maine 
127,128, University of Arkansas - Fayetteville  ,16,32.0,22.31952,0.257232,2,2,0,0.0,1.9583150000000002,90,University of Arkansas - Fayetteville,90,University of Arkansas
128,129, Kansas State University  ,15,43.0,32.41583,0.28917600000000004,3,0,0,2.2,1.9268049999999999,38,Kansas State University,38,Kansas State University
129,130, University of Oklahoma  ,15,38.0,39.12792,0.264726,2,0,0,2.0,1.898756,142,University of Oklahoma,142,University of Oklahoma 
