rank,uni,measured,predicted,combined
369,Sharif University of Technology,1789,463,1193
370,University of Innsbruck,2479,216,1192
371,Leiden University,2473,216,1190
372,Universidade Federal do Rio Grande do Sul,2107,313,1189
373,Washington State University,2322,243,1180
374,University of Konstanz,2288,248,1175
375,Georgia State University,2336,236,1174
376,Indian Institute of Technology Delhi,2022,327,1171
377,Georgetown University,1933,360,1168
378,INESC-ID,1937,356,1165
379,University of Patras,2196,263,1162
380,Texas Instruments,2207,259,1161
381,West Virginia University,2509,192,1161
382,Sungkyunkwan University,1925,356,1160
383,University College Dublin,2573,179,1157
384,Louisiana State University,2088,291,1156
385,University of Missouri,2304,229,1153
386,Philips,2643,166,1152
387,Willow Garage,5419,31,1151
388,Université de Sherbrooke,2577,175,1150
389,Orange S.A.,2548,177,1145
390,University of Kansas,2287,225,1141
391,State University of New York System,2345,212,1140
392,Dalle Molle Institute for Artificial Intelligence Research,2561,171,1137
393,Naval Postgraduate School,2303,218,1135
394,École normale supérieure de Cachan,2134,257,1131
395,Mitsubishi Electric Research Laboratories,2333,202,1120
396,Technical University of Denmark,1747,393,1117
397,Information Sciences Institute,2354,190,1106
398,Rochester Institute of Technology,1764,366,1101
399,University of Lyon,1686,402,1097
400,Wright State University,2125,234,1096
401,University of Florence,1859,315,1091
402,Waseda University,1799,338,1089
403,"International Institute of Information Technology, Hyderabad",1982,269,1089
404,Institute of Mathematics,1658,408,1089
405,University of North Texas,2721,128,1088
406,Deutsche Telekom,3998,52,1087
407,International Computer Science Institute,2260,195,1084
408,École Polytechnique de Montréal,1871,300,1080
409,University of South Carolina,1878,297,1080
410,McMaster University,1881,296,1080
411,University of Manitoba,1784,334,1079
412,University of Passau,1937,271,1074
413,Charles III University of Madrid,1633,403,1073
414,University of Basel,2055,234,1071
415,Birmingham–Southern College,1836,290,1055
416,Interdisciplinary Center Herzliya,1927,258,1054
417,Brunel University London,1982,239,1051
418,Nara Institute of Science and Technology,1668,353,1047
419,VMware,1775,295,1036
420,University of Potsdam,2071,202,1030
421,University of Calabria,1798,278,1027
422,University of Georgia,1860,249,1017
423,State University of Campinas,1894,235,1013
424,University of Ulm,1741,286,1013
425,University of Tsukuba,1517,393,1012
426,Deakin University,1531,376,1005
427,Boğaziçi University,2019,196,1003
428,Foundation for Research & Technology – Hellas,1892,226,1000
429,DePaul University,2026,188,993
430,Randolph–Macon College,2457,120,993
431,Braunschweig University of Technology,1541,356,993
432,Free University of Bozen-Bolzano,1749,264,992
433,École Polytechnique,1733,267,989
434,Autonomous University of Barcelona,1556,341,987
435,University of Ioannina,1663,291,986
436,University of Toulouse,1403,432,985
